securities

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
1887;VALTODAY;Объем;Объем совершенных сделок, в валюте расчетов;1;0;0;;0;0;number;0;0
1888;VALTODAY_USD;Объем сделок, дол. США;Объем заключенных сделок, дол. США;0;0;0;;0;0;number;0;0
4033;ETFSETTLEPRICE;Расч. стоим;Расчетная стоимость акции/пая иностранного биржевого инвестиционного фонда;0;0;0;;0;0;number;2;0
1889;TRADINGSTATUS;Состояние;Индикатор состояния торговой сессии по инструменту;0;0;0;;0;0;string;;0
1910;UPDATETIME;Время обновления;Время последнего обновления;0;0;0;;0;0;time;;0
1908;ADMITTEDQUOTE;Признаваемая котировка;Признаваемая котировка, рассчитываемая в соответствии с методикой ФСФР;0;0;1;;0;0;number;;0
1900;LASTBID;Спрос сессии;Лучшая котировка на покупку на момент завершения нормального периода торгов;0;0;1;;0;0;number;;0
1901;LASTOFFER;Предложение сессии;Лучшая котировка на продажу на момент завершения нормального периода торгов;0;0;1;;0;0;number;;0
1906;LCLOSEPRICE;Цена закрытия;Официальная цена закрытия, рассчитываемая по методике ФСФР как средневзвешенная цена сделок за последние 10 минут торговой сессии, включая сделки послеторгового периода;0;0;1;;0;0;number;;0
1905;LCURRENTPRICE;Текущая цена;Официальная текущая цена, рассчитываемая как средневзвешенная цена сделок заключенных за последние 10 минут;0;0;1;;0;0;number;;0
1907;MARKETPRICE2;Рыночная цена 2;Рыночная цена 2, рассчитываемая в соответствии с методикой ФСФР;0;0;1;;0;0;number;;0
1871;NUMBIDS;Заявок на покупку;Количество заявок на покупку в очереди Торговой системы;0;0;1;;0;0;number;0;0
1875;NUMOFFERS;Заявок на продажу;Количество заявок на продажу в очереди Торговой системы;0;0;1;;0;0;number;0;0
1880;CHANGE;К последней пред. дня;Изменение цены последней сделки по отношению к цене последней сделки предыдущего торгового дня;0;0;1;1880;1;0;number;;0
1885;TIME;Время последней;Время заключения последней сделки;0;0;1;;0;0;time;;0
1895;HIGHBID;Лучший спрос;Наибольшая цена спроса в течение торговой сессии;0;0;1;;0;0;number;;0
1896;LOWOFFER;Лучшее предложение;Наименьшая цена предложения в течение торговой сессии;0;0;1;;0;0;number;;0
1898;PRICEMINUSPREVWAPRICE;К оценке пред. дня;Цена последней сделки к оценке предыдущего дня;0;0;1;;0;0;number;;0
1909;OPENPERIODPRICE;Цена предторгового периода;Цена предторгового периода;0;0;1;;0;0;number;;0
1911;SEQNUM;номер обновления (служебное поле);номер обновления (служебное поле);0;1;1;;0;0;number;0;0
3163;SYSTIME;Время загрузки;Время загрузки данных системой;0;1;1;;0;0;date;;0
3811;CLOSINGAUCTIONPRICE;Цена ПА;Цена послеторгового аукциона. В течение аукциона отображает ожидаемую цену аукциона с учетом всех зарегистрированных на текущий момент заявок. После завершения аукциона отображает цену состоявшегося аукциона.;0;0;0;;0;0;number;;0
3810;CLOSINGAUCTIONVOLUME;Количество ПА;Количество в сделках послеторгового аукциона. Ожидаемое (состоявшееся) количество лотов в сделках по указанной цене послеторгового аукциона.;0;0;0;;0;0;number;;0
3814;ISSUECAPITALIZATION;Капитализация;Текущая капитализация акции;0;0;0;;0;0;number;0;0
3815;ISSUECAPITALIZATION_UPDATETIME;Обновление капитализации;Время обновления капитализации;0;0;1;;0;0;time;;0
4234;ETFSETTLECURRENCY;Валюта расч. стоим;Валюта расчетной стоимости акции/пая иностранного биржевого инвестиционного фонда;0;0;0;;0;0;string;;0
4293;VALTODAY_RUR;Объем, руб.;Объем совершенных сделок, рублей;0;0;0;;0;0;number;0;0


